customer,age,regionType,marriageStatus,children,income,numHandsets,handsetAge,smartPhone,currentHandsetPrice,creditRating,homeOwner,creditCard,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,avgRoamCalls,callMinutesChangePct,billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,numRetentionCalls,numRetentionOffersAccepted,newFrequentNumbers,churn
1023685,26.0,,unknown,True,1,5,509.0,True,99.99,C,False,True,257.42,1168.5,29.99,626.0,0.1,12.01,3.8802,306.09,67.67,41.0,0.40215214,10.5228492,13.67,27,0.0,0,0,0,True
1014077,28.0,suburban,no,False,3,1,765.0,True,0.0,A,False,True,33.5,108.75,29.99,9.25,0.0,-0.755,-0.0702,24.85,1.33,0.0,2.8039502560000003,-7.467560369,0.67,25,0.0,0,0,0,False
1077722,52.0,town,yes,False,9,3,68.0,True,79.99,B,False,True,35.73,342.5,44.99,0.0,0.0,6.33,0.005,61.71,36.0,8.0,0.314907975,16.53660014,41.0,11,0.0,0,0,0,True
1038649,,,unknown,False,0,1,609.0,True,0.0,F,True,False,112.64,472.5,29.99,227.25,0.39,-6.87,-1.653,137.07,48.0,10.67,4.148312308,-2.51704534,18.33,21,0.0,0,0,0,True
1050039,24.0,,no,False,1,2,19.0,True,199.99,B,False,True,232.3,3633.75,159.99,474.5,0.0,-3.615,-0.6748,1158.76,208.33,25.67,2.0261774740000003,12.09297449,54.0,15,1.0,0,0,0,True
1069407,46.0,rural,yes,True,6,1,324.0,True,0.0,E,False,True,27.48,488.75,40.03,0.0,0.0,-9.775,-0.5496,81.39,10.0,0.67,1.476190476,1.924286366,4.0,11,10.0,0,0,3,True
1011309,38.0,,yes,False,8,2,897.0,False,29.99,A,False,True,48.68,211.75,42.49,23.75,0.0,-1.575,-0.1038,70.01,17.33,8.0,3.30316015,8.332429146,7.67,30,0.0,0,0,0,True
1064294,50.0,town,yes,True,6,1,295.0,True,0.0,F,False,True,87.08,411.75,89.95,21.5,0.0,-0.795,-0.0218,19.88,15.67,2.0,0.531914894,5.6096454179999995,18.0,10,0.33,0,0,0,False
1024091,54.0,town,no,False,8,2,725.0,True,29.99,E,False,True,89.78,605.5,49.99,128.5,0.0,-4.33,-0.7759999999999999,185.74,39.0,21.67,4.160516052,-3.779748505,6.0,25,0.0,0,0,0,True
1036746,32.0,rural,unknown,False,2,1,583.0,True,0.0,C,False,False,55.17,291.75,32.49,52.5,3.68,-5.835,-0.3886,7.35,4.0,0.0,3.315789474,3.421435717,5.67,19,0.0,0,0,0,True
1095075,58.0,suburban,yes,False,7,2,235.0,True,99.99,B,False,True,34.99,48.25,44.99,0.0,0.0,0.135,0.0,0.0,8.33,0.0,2.9175,-7.463606265,2.0,9,0.0,0,0,0,False
1035018,48.0,suburban,no,True,8,2,90.0,True,59.99,G,False,True,94.41,945.75,59.51,120.25,3.52,5.225,0.4774,319.66,30.0,2.0,0.965623793,6.458100066,12.0,22,8.67,0,0,0,True
1052907,46.0,suburban,no,False,4,1,536.0,True,0.0,B,False,True,35.76,209.25,39.99,16.0,0.0,2.475,0.3462,19.08,18.67,0.67,1.084104289,3.809478243,4.33,18,0.0,0,0,0,False
1040614,54.0,suburban,yes,False,6,2,66.0,True,9.99,C,False,True,68.69,1037.25,10.0,234.75,0.0,2.055,0.1712,166.61,94.0,30.33,1.066259375,11.42245016,33.0,18,3.0,0,0,0,True
1094615,38.0,,unknown,False,6,1,202.0,True,0.0,E,False,False,41.14,506.25,38.78,0.0,1.61,2.935,0.0366,122.97,72.0,26.0,0.756064614,-4.028471025,5.0,7,0.33,0,0,0,False
1034536,44.0,suburban,no,False,9,5,364.0,True,79.99,C,False,True,87.61,1269.0,59.99,77.0,0.29,-2.84,0.3792,498.52,45.33,30.33,0.908123004,-1.08222436,30.67,18,1.67,0,0,0,False
1039096,,town,unknown,False,0,2,66.0,True,129.99,E,True,False,68.57,561.5,69.99,9.75,0.97,2.09,0.1716,96.21,30.0,15.67,0.632183908,12.06582017,17.67,20,1.33,0,0,0,False
1031098,36.0,suburban,no,False,6,1,677.0,False,0.0,B,False,True,53.49,755.25,59.99,0.0,0.0,2.135,-0.005,6.49,11.0,0.0,1.6067756619999998,-7.117381787,11.67,23,0.0,0,0,1,True
1013358,46.0,suburban,yes,True,9,1,844.0,False,0.0,A,False,True,68.62,692.25,49.99,52.5,0.69,-4.245,-0.32799999999999996,175.59,79.67,29.67,0.9856944590000001,-2.8406137680000003,11.67,28,0.0,0,0,0,False
1012953,36.0,town,yes,True,6,2,250.0,True,29.99,C,False,True,30.28,179.75,39.99,0.0,0.0,1.145,0.0142,13.42,4.33,0.0,5.686035614,5.444306785,4.33,26,0.67,0,0,0,False
1034741,58.0,suburban,unknown,False,4,1,715.0,False,0.0,B,False,True,22.66,28.25,16.99,15.75,0.0,-0.185,-0.0602,1.58,0.67,0.0,0.526066351,6.434960875,0.0,24,0.0,0,0,0,True
